trial_num,left_pwm,right_pwm,sim_time_start,model_pos_x_start,model_pos_y_start,theta_start,sim_time_final,model_pos_x_final,model_pos_y_final,theta_final
109,160,15,154868,392.33487,418.9707642,134.0448374,155829,333.30148,486.6896362,129.9936047
110,0,180,156453,334.13297,487.7771606,130.6314318,157349,396.26227,417.3172607,134.6264876
111,83,85,157937,396.26227,417.3172607,134.6264876,158901,406.84772,411.2427979,-148.9908664
112,180,101,159485,406.75824,411.9267578,-148.413578,160418,391.55963,416.2366333,135.1708677
113,83,90,161040,391.0745,417.3725586,135.1056676,162004,434.34875,394.9960938,-178.1192195
114,180,90,162620,391.0745,417.3725586,135.1056676,163485,388.99454,416.348999,135.6481057
115,90,101,164072,390.0438,416.9857788,135.6231667,165035,407.38318,388.2385254,103.0404396
116,90,85,165660,407.21783,389.0684814,102.9558114,166620,389.57037,418.7401733,136.6819636
117,90,90,167248,389.57898,417.9506226,136.7426452,168200,389.57037,418.7401733,136.6819636
118,160,15,168827,389.9215,418.4678345,136.6854831,169788,326.3897,484.6020508,132.8815351
119,0,180,170412,324.97836,484.4903564,132.2159894,171371,392.80798,417.2142944,136.6741274
120,83,85,171990,392.11588,416.9714355,137.2419055,172951,402.2657,411.861145,-145.5279167
121,180,101,173577,403.08615,411.2382202,-145.5597816,174545,385.89606,416.6428223,136.1974553
122,83,90,175164,387.1557,418.2393799,138.2692892,176059,431.77808,398.145813,-175.1720496
123,180,90,176647,431.4986,396.2303467,-176.6515249,177612,386.3753,416.2962646,137.7665971
124,90,101,178197,385.89606,416.6428223,137.2424676,179165,403.50638,389.0897217,105.3012299
125,90,85,179784,402.90866,390.8863525,104.7087614,180738,384.74408,419.1462402,139.3582997
126,90,90,181367,384.38913,418.0108643,138.2903384,182330,385.9067,417.2609863,139.3560298
127,160,15,182956,383.8552,417.0947876,138.3792254,183912,316.0321,480.4631958,134.5875989
128,0,180,184538,316.8009,480.7624512,134.5340399,185496,383.81735,415.6218872,137.8056138
129,83,85,186120,382.78488,415.8980103,137.8441138,187080,396.40244,410.2233276,-144.6368961
130,180,101,187710,395.7195,411.0117188,-143.663119,188667,379.1166,415.9887085,139.8958174
