num_trial,sim_time,left_pwm,right_pwm,model_pos_x,model_pos_y,theta
22,27.052,180,85,318.1899,717.1630249,-21.07608372
22,27.154,180,85,318.1899,717.1630249,-21.07608372
22,27.214,180,85,355.115,704.5545654,-25.91386025
22,27.317,180,85,355.115,704.5545654,-25.91386025
22,27.38,180,85,389.73166,687.6067505,-27.94027688
22,27.478,180,85,389.73166,687.6067505,-27.94027688
23,28.142,83,101,466.47226,643.2277832,-36.48838501
23,28.238,83,101,465.71378,642.2167969,-36.38912523
23,28.335,83,101,455.9651,648.6990967,-35.77587983
23,28.432,83,101,440.55765,656.8731079,-31.87680881
23,28.534,83,101,417.41754,672.7297974,-28.99213687
23,28.606,83,101,417.41754,672.7297974,-28.99213687
23,28.639,83,101,417.41754,672.7297974,-28.99213687
23,28.673,83,101,417.41754,672.7297974,-28.99213687
23,28.763,83,101,374.40497,693.8102417,-24.58376598
23,28.863,83,101,346.01263,704.7021484,-21.05880681
23,28.958,83,101,326.04904,709.1961365,-18.51480712
23,29.088,83,101,295.98386,715.7012024,-14.19000276
23,29.216,83,101,269.05844,721.5611267,-11.27054668
23,29.317,83,101,239.98822,725.2893677,-8.018954938
24,29.978,180,85,176.73613,725.663208,-0.014810376
24,30.082,180,85,176.73613,725.663208,0.776580622
24,30.183,180,85,184.79555,726.0636292,0.798685621
24,30.28,180,85,219.19055,724.8495789,-3.270249711
24,30.379,180,85,238.08426,724.5595093,-7.290506259
24,30.507,180,85,266.41504,722.4175415,-9.668378549
24,30.588,180,85,266.41504,722.4175415,-9.668378549
24,30.673,180,85,304.89325,716.9080505,-12.8914354
24,30.772,180,85,331.73074,712.4149475,-15.72374779
24,30.875,180,85,352.25262,706.6882935,-16.83604775
24,30.97,180,85,371.7998,702.6824951,-19.91040033
24,31.047,180,85,371.7998,702.6824951,-19.91040033
24,31.114,180,85,371.7998,702.6824951,-19.91040033
25,31.766,83,101,466.75784,664.0126953,-26.92489242
25,31.867,83,101,466.00858,664.593689,-27.12764416
25,31.966,83,101,466.00858,664.593689,-27.12764416
25,32.023,83,101,436.44864,676.2412109,-21.9845905
25,32.128,83,101,418.03564,681.3310547,-18.31467542
25,32.263,83,101,389.19373,690.3429565,-15.69329335
25,32.359,83,101,360.9881,695.0930786,-12.0124254
25,32.459,83,101,340.90607,698.6309814,-10.32550291
25,32.557,83,101,321.08148,701.5658569,-8.065393261
25,32.638,83,101,321.08148,701.5658569,-8.065393261
25,32.706,83,101,321.08148,701.5658569,-8.065393261
25,32.761,83,101,271.43802,700.8563232,-0.829590556
25,32.886,83,101,240.26144,699.958252,0.858756817
25,32.981,83,101,211.07419,696.791626,6.269932564
26,33.61,180,85,150.13037,681.9508667,13.48738524
26,33.719,180,85,150.7924,684.1012573,12.72442186
26,33.838,180,85,162.99448,686.1863403,13.82360331
26,33.937,180,85,197.2392,693.9472046,6.509947995
26,34.037,180,85,216.57121,697.5037842,4.904362596
26,34.148,180,85,216.57121,697.5037842,4.904362596
26,34.208,180,85,254.68254,699.7680664,1.638162583
26,34.282,180,85,254.68254,699.7680664,1.638162583
26,34.34,180,85,283.43268,701.0317383,-0.758877484
26,34.471,180,85,310.3991,702.8265991,-4.74164243
26,34.565,180,85,342.31277,700.2518311,-7.890837712
26,34.666,180,85,360.59152,698.8827515,-9.561339681
26,34.793,180,85,390.9792,694.7009888,-13.44272226
26,34.894,180,85,418.54037,688.3512573,-14.80926988
27,35.584,83,101,478.79224,670.8748169,-19.92830957
27,35.683,83,101,472.72235,673.0805664,-18.16923822
27,35.785,83,101,456.27872,677.611145,-16.47092577
27,35.883,83,101,437.90698,682.7018433,-14.0459531
27,35.982,83,101,410.01495,686.8341064,-9.442356022
27,36.062,83,101,410.01495,686.8341064,-9.442356022
27,36.125,83,101,379.59644,689.9528198,-6.301583293
27,36.219,83,101,359.93173,689.8286743,-3.228047241
27,36.315,83,101,329.9009,690.253479,-0.023243424
27,36.415,83,101,307.84644,689.7573242,0.841254071
27,36.521,83,101,307.84644,689.7573242,0.841254071
27,36.56,83,101,307.84644,689.7573242,0.841254071
27,36.617,83,101,258.9141,680.6063843,8.012214944
27,36.719,83,101,239.5034,677.5787964,8.915806249
27,36.842,83,101,209.94841,669.3019409,13.61050029
27,36.941,83,101,182.35487,662.059082,15.5454156
28,37.637,180,85,122.39935,635.3806763,24.83025342
28,37.713,180,85,122.39935,635.3806763,24.83025342
28,37.803,180,85,127.17631,638.0012817,23.36908252
28,37.898,180,85,160.1025,653.4911499,18.57350058
28,38.007,180,85,176.08328,658.3696289,16.10927
28,38.133,180,85,204.28416,667.7481079,11.27243144
28,38.23,180,85,232.694,673.8964844,9.826373236
28,38.335,180,85,252.58679,678.5299072,7.315233266
28,38.426,180,85,271.1165,681.5551147,6.428305623
28,38.504,180,85,271.1165,681.5551147,6.428305623
28,38.596,180,85,307.88614,688.1245117,0.843876956
28,38.694,180,85,338.20566,688.8546753,0.859457119
28,38.779,180,85,338.20566,688.8546753,0.859457119
28,38.813,180,85,338.20566,688.8546753,0.859457119
28,38.927,180,85,387.0576,688.8514404,-4.793597432
29,39.587,83,101,460.86166,678.6766357,-13.06539954
29,39.706,83,101,459.14517,680.8123169,-13.01369892
29,39.811,83,101,433.65182,682.7557983,-7.788178856
29,39.888,83,101,433.65182,682.7557983,-7.788178856
29,39.946,83,101,405.24973,684.7404175,-3.122104843
29,40.052,83,101,385.3283,684.9940796,-1.527123137
29,40.176,83,101,355.7298,683.3751221,2.428263064
29,40.254,83,101,355.7298,683.3751221,2.428263064
29,40.348,83,101,315.5649,677.7459106,8.220475419
29,40.426,83,101,315.5649,677.7459106,8.220475419
29,40.489,83,101,315.5649,677.7459106,8.220475419
29,40.548,83,101,266.55908,665.9099121,14.5454371
29,40.656,83,101,266.55908,665.9099121,14.5454371
29,40.685,83,101,266.55908,665.9099121,14.5454371
29,40.742,83,101,221.32645,650.3846436,18.90088925
29,40.816,83,101,221.32645,650.3846436,18.90088925
29,40.878,83,101,193.9175,636.0507202,24.06249443
29,40.975,83,101,174.76047,628.416748,24.90162476
29,41.068,83,101,150.42503,612.1777954,29.44189073
30,41.736,180,85,98.92445,575.0827026,35.38734422
30,41.796,180,85,99.06036,575.0498047,35.31109823
30,41.92,180,85,104.121574,581.2741089,32.61959107
30,42.023,180,85,135.59071,599.7179565,26.55580014
30,42.129,180,85,151.10938,609.6352539,25.17120886
30,42.258,180,85,176.69739,621.5148926,23.07003659
30,42.355,180,85,203.07474,633.9721069,19.7818582
30,42.462,180,85,221.29178,640.164917,18.54325644
30,42.534,180,85,221.29178,640.164917,18.54325644
30,42.59,180,85,249.32855,651.0735474,15.48469767
30,42.72,180,85,276.4203,658.5479736,12.8909009
30,42.814,180,85,304.71637,666.2423096,8.034572799
30,42.915,180,85,322.8705,669.5516357,8.004276169
30,43.047,180,85,351.5619,675.3184814,4.711992973
30,43.144,180,85,380.53207,677.0734253,1.578632585
31,43.777,83,90,442.1365,679.4068604,-3.029255532
32,44.438,180,90,418.0266,676.47052,16.21266375
32,44.476,180,90,418.0266,676.47052,16.21266375
33,45.189,83,90,443.5531,679.3890381,-4.565012174
33,45.271,83,90,443.5531,679.3890381,-4.565012174
33,45.332,83,90,442.1365,679.4068604,-2.2782896
34,45.925,180,90,406.68207,671.7602539,27.41580838
34,46.035,180,90,406.68207,671.7602539,27.41580838
34,46.116,180,90,409.12442,673.8637085,22.93773224
35,46.779,83,90,444.96957,679.3712769,-6.095206897
35,46.854,83,90,444.96957,679.3712769,-6.095206897
35,46.916,83,90,441.71005,679.9293823,-3.76295032
35,47.008,83,90,432.6887,680.0561523,4.860290168
36,47.646,180,90,396.78146,663.817688,39.36434217
36,47.702,180,90,397.1103,664.4007568,38.26626823
36,47.8,180,90,396.78146,663.817688,39.19353955
36,47.9,180,90,409.8398,672.909668,25.91368226
37,48.465,83,90,441.71005,679.9293823,-3.002961163
37,48.594,83,90,442.1365,679.4068604,-3.002427585
37,48.691,83,90,442.59888,679.9318237,-3.003047671
37,48.799,83,90,442.1365,679.4068604,-2.259937647
37,48.917,83,90,427.34497,679.6695557,8.716156211
38,49.548,180,90,392.54678,660.6509399,45.76639573
38,49.647,180,90,392.54678,660.6509399,44.16860159
38,49.748,180,90,403.84918,670.1801147,32.00052583
38,49.878,180,90,418.0266,676.47052,16.97203008
39,50.484,83,90,454.88092,679.2467651,-16.11617992
39,50.545,83,90,454.4425,679.7697144,-16.12358765
39,50.674,83,90,446.70776,678.8717651,-8.527944741
39,50.801,83,90,430.79858,679.5492554,7.220736364
39,50.901,83,90,412.35266,674.9230347,23.19791848
40,51.562,180,90,385.5253,651.1085815,56.68346244
40,51.665,180,90,385.83865,652.3226318,56.04831901
40,51.768,180,90,390.05453,657.0756836,50.0738992
40,51.864,180,90,402.43185,670.1974487,32.30457026
40,51.959,180,90,411.95694,675.4454346,23.22056529
40,52.092,180,90,428.43936,680.109436,8.011071024
41,52.752,83,90,463.3304,675.9065552,-24.1760041
41,52.884,83,90,461.93652,677.5404053,-22.52330446
41,52.98,83,90,447.81644,680.9552612,-8.564076278
41,53.085,83,90,436.4787,681.0983276,2.469984003
41,53.212,83,90,419.4481,678.0717163,17.94877362
41,53.346,83,90,403.8468,671.7950439,32.00819372
42,53.999,180,90,380.43732,642.1185913,69.68663276
42,54.14,180,90,379.93082,643.1833496,66.05659615
42,54.23,180,90,390.05453,657.0756836,52.8261824
42,54.337,180,90,396.7764,665.4281006,40.91713629
42,54.45,180,90,396.7764,665.4281006,40.91713629
42,54.502,180,90,415.19034,676.5057983,20.69553749
