trial_num,sim_time,left_pwm,right_pwm,model_pos_x,model_pos_y,theta
114,126.051,90,101,453.63876,500.91522216796875,86.1687602145874
114,126.083,90,101,454.01846,502.74224853515625,84.7201567703869
114,126.151,90,101,454.01846,502.74224853515625,84.7201567703869
114,126.175,90,101,452.8164,500.29473876953125,83.9055933973302
114,126.207,90,101,452.8164,500.29473876953125,83.9055933973302
114,126.241,90,101,451.99442,492.22998046875,76.09765905545203
114,126.308,90,101,452.51364,490.0718994140625,72.63778919820012
114,126.342,90,101,450.66818,485.43157958984375,68.10699910209524
114,126.377,90,101,449.20364,482.60491943359375,64.88822012835368
114,126.413,90,101,447.76517,478.275390625,60.69404003023815
114,126.481,90,101,447.76517,478.275390625,60.69404003023815
114,126.503,90,101,447.76517,478.275390625,60.69404003023815
114,126.536,90,101,447.76517,478.275390625,60.69404003023815
114,126.573,90,101,439.4344,466.2078857421875,46.52118644658983
115,127.271,90,85,415.6615,450.29443359375,17.172920111772356
115,127.293,90,85,416.73447,449.7432861328125,17.390768485328618
115,127.332,90,85,416.6675,449.78369140625,17.453424576527837
115,127.366,90,85,415.29605,449.8624267578125,17.220162121237994
115,127.433,90,85,415.29605,449.8624267578125,17.220162121237994
115,127.467,90,85,419.5111,451.0179443359375,20.153009925239857
115,127.502,90,85,422.5648,453.66326904296875,23.141327703848308
115,127.569,90,85,426.47614,454.92657470703125,26.59089207078317
115,127.604,90,85,429.55145,456.677001953125,30.18356228968202
115,127.625,90,85,429.55145,456.677001953125,30.18356228968202
115,127.669,90,85,429.55145,456.677001953125,30.18356228968202
115,127.736,90,85,439.394,464.76275634765625,46.02109418840179
115,127.759,90,85,441.9284,468.59051513671875,50.22282428480979
115,127.794,90,85,442.77405,471.2158203125,53.153784684700184
115,127.832,90,85,442.77405,471.2158203125,53.153784684700184
115,127.905,90,85,442.77405,471.2158203125,53.153784684700184
115,127.931,90,85,450.64908,482.47015380859375,66.50277961113467
115,127.967,90,85,450.44122,486.4827880859375,70.14771650411275
115,128.0,90,85,452.859,492.01678466796875,73.80900245772997
115,128.066,90,85,453.73297,495.46929931640625,79.50962185574853
116,128.612,90,101,452.35834,521.4373168945312,105.10623590200487
116,128.688,90,101,452.35834,521.4373168945312,105.10623590200487
116,128.724,90,101,451.45596,520.8893432617188,105.13006705564577
116,128.746,90,101,451.7015,520.5645141601562,105.16651711660222
116,128.79,90,101,451.99313,519.4688110351562,102.19284284845574
116,128.857,90,101,452.69125,515.674072265625,100.06981740024682
116,128.88,90,101,452.24667,511.59112548828125,95.44075679532122
116,128.915,90,101,454.4189,507.53900146484375,92.60271555697553
116,128.95,90,101,453.9956,504.24200439453125,86.83861672940819
116,129.016,90,101,453.9956,504.24200439453125,86.83861672940819
116,129.051,90,101,453.9956,504.24200439453125,86.83861672940819
116,129.084,90,101,452.63324,493.07342529296875,75.92367991544484
116,129.15,90,101,452.63324,493.07342529296875,75.92367991544484
116,129.183,90,101,450.9242,484.46240234375,68.34340633849841
116,129.218,90,101,450.9242,484.46240234375,68.34340633849841
116,129.253,90,101,447.38684,476.47552490234375,60.68000247903538
116,129.319,90,101,446.49152,474.54443359375,57.475203547242394
116,129.342,90,101,444.80365,471.18963623046875,52.261910068611115
116,129.376,90,101,441.6344,468.1121826171875,48.144371442887795
116,129.411,90,101,440.17917,465.30340576171875,46.010921189122584
117,130.004,90,85,440.17917,465.30340576171875,46.010921189122584
117,130.037,90,85,424.69778,451.78411865234375,25.307318334720858
117,130.105,90,85,423.32617,451.86407470703125,24.990503195978455
117,130.138,90,85,423.32617,451.86407470703125,24.990503195978455
117,130.173,90,85,425.3265,452.6025390625,25.93095487587295
117,130.208,90,85,426.1411,454.57861328125,27.858893659272653
117,130.275,90,85,430.29474,455.776611328125,32.174401332294195
117,130.309,90,85,433.11526,458.4951171875,35.362195068891275
117,130.332,90,85,436.27466,461.56201171875,39.30722756329638
117,130.367,90,85,436.27466,461.56201171875,39.30722756329638
117,130.432,90,85,436.27466,461.56201171875,39.30722756329638
117,130.465,90,85,436.27466,461.56201171875,39.30722756329638
117,130.498,90,85,446.30417,475.4552001953125,57.10506444616885
117,130.532,90,85,449.41312,478.59918212890625,62.28127501918755
117,130.603,90,85,449.41312,478.59918212890625,62.28127501918755
117,130.638,90,85,451.8212,486.40155029296875,69.89649599331726
117,130.68,90,85,451.8212,486.40155029296875,69.89649599331726
117,130.705,90,85,454.3729,496.31512451171875,78.18615971443909
117,130.771,90,85,454.3729,496.31512451171875,78.18615971443909
117,130.794,90,85,454.3729,496.31512451171875,78.18615971443909
117,130.828,90,85,455.2441,508.16119384765625,93.3621366807119
117,130.895,90,85,453.55713,512.4337158203125,96.97999990437874
118,131.461,90,101,443.88678,537.3411865234375,123.40058908030811
118,131.483,90,101,444.2254,537.8372802734375,123.3503832427956
118,131.553,90,101,444.2254,537.8372802734375,123.3503832427956
118,131.587,90,101,443.88678,537.3411865234375,123.40058908030811
118,131.62,90,101,443.84952,535.954833984375,122.20206419498544
118,131.695,90,101,445.1554,532.8058471679688,119.7514036770136
118,131.718,90,101,446.12955,529.3680419921875,114.89167160486959
118,131.759,90,101,449.4283,527.014892578125,112.27212194565197
118,131.985,90,101,450.131,523.2086791992188,107.94509134444624
118,132.004,90,101,451.39035,518.7017822265625,103.77649839373171
118,132.026,90,101,451.39035,518.7017822265625,103.77649839373171
118,132.041,90,101,454.21515,511.57501220703125,96.24917031890286
118,132.077,90,101,455.24765,499.7713623046875,84.60223167606065
118,132.105,90,101,454.06897,495.82696533203125,79.63316205508495
